,unique_id,date_close,date_open,oplata
849,040107660,,,
850,040118374,,,
851,040107596,,,
852,040114020,,,
853,040118057,01-09-22,19-09-22,
854,040106096,,,
855,040118254,,,
856,040118092,,,
857,040117039,,,
858,040118093,,,
859,040117454,,,
860,040107149,,,
861,040117989,26-08-22,28-08-22,
862,040118652,12-09-22,13-09-22,
863,040116823,,,
864,040105624,,,
865,040114291,01-09-22,02-09-22,
866,040107744,,,
867,040117389,,,
868,040118375,,,
869,040103973,,,
870,040118094,,,
871,040104836,,,
872,040103974,,,
873,030606481,,,250
874,030640554,15-09-22,16-09-22,350
875,080104311,,,
876,080105124,13-09-22,14-09-22,
877,080104300,01-09-22,02-09-22,
878,080105118,,,
879,080106329,08-08-22,09-08-22,
880,080104301,29-08-22,03-09-22,
881,080104313,02-09-22,03-09-22,
882,080104302,17-09-22,19-09-22,
883,080104314,01-09-22,02-09-22,
884,080104303,,,
885,080103956,,,
886,080104315,26-08-22,11-09-22,
887,080104304,,,
888,080105121,02-09-22,03-09-22,
889,080104563,06-09-22,30-09-22,
890,080107430,10-09-22,12-09-22,
891,080104305,,,
892,080104665,,,
893,080109336,,,
894,080106454,,,
895,080106753,,,
896,080104306,,,
897,080112029,01-09-22,02-09-22,
898,080112694,,,
899,080106422,,,
900,080110130,,,
901,080106247,,,
902,080110266,,,
903,080110267,,,
904,080104318,12-09-22,13-09-22,
905,080104307,,,
906,080104299,,,
907,080104319,,,
908,080104320,19-09-22,20-09-22,
909,080104309,,,
910,080104664,,,
911,080104321,,,
912,080104310,,,
913,080605385,,,450
914,080607690,,,450
915,080602716,19-09-22,20-09-22,450
916,080606801,,,450
917,080602736,,,450
918,080607696,,,450
919,080602976,,,450
920,080602715,,,450
921,080604083,,,450
922,080607693,,,450
923,080602731,,,450
924,080605236,,,450
925,080607691,,,450
926,080607705,,,450
927,080602724,,,450
928,080602737,,,450
929,080607699,11-09-22,12-09-22,450
930,080602714,22-09-22,10-10-22,450
931,080607149,,,450
932,080604575,,,450
933,080607692,,,450
934,080605024,,,450
935,080603893,24-09-22,26-09-22,450
936,080607701,,,350
937,080607703,,,350
938,080607695,,,350
939,080604068,,,350
940,080604612,24-09-22,26-09-22,450
941,080604623,24-09-22,26-09-22,450
942,080605219,16-09-22,17-09-22,450
943,080602718,,,450
944,080607702,,,450
945,080602709,,,450
946,080604887,,,450
947,080603292,,,450
948,080606802,,,450
949,080603271,,,450
950,080607698,18-09-22,19-09-22,450
951,080607694,16-09-22,17-09-22,450
952,080604616,,,450
953,050212024,,,
954,050202481,,,
955,050203327,,,
956,050206046,,,
957,050203683,,,
958,050203763,,,
959,050203349,,,
960,050202468,,,
961,050211918,,,
962,050203326,,,
963,050208280,,,
964,050208308,,,
965,050202487,,,
966,050203880,,,
967,050203185,,,
968,050202488,,,
969,050202489,,,
970,050211366,,,
971,050202490,,,
972,050208940,,,
973,050202460,02-08-22,03-08-22,
974,050202499,01-09-22,02-09-22,
975,050203121,,,
976,050203348,,,
977,050203694,,,
978,050203927,,,
979,050212023,,,350
980,050202824,,,
981,050202847,,,
982,050203933,,,
983,050208533,,,
984,050202495,,,
985,050202462,15-09-22,16-09-22,
986,050212256,,,
987,050203759,,,
988,050211984,,,
989,050211365,,,
990,050211329,,,
991,020106423,19-09-22,20-09-22,350
992,020107679,,,
993,020106422,,,
994,020102373,,,
995,020104790,,,350
996,020107677,,,350
997,020101158,,,350
998,020105917,,,
999,020105636,,,350
1000,020105953,,,350
1001,020106830,,,
1002,020107067,19-09-22,20-09-22,
1003,020107947,,,
1004,020107954,,,350
1005,020107937,06-08-22,08-08-22,
1006,020105432,,,350
1007,020107951,,,350
1008,042105869,,,350
1009,042105397,,,350
1010,042104132,,,350
1011,042105816,,,350
1012,042105205,,,350
1013,042101081,,,350
1014,042103177,,,350
1015,042105247,,,350
1016,042105642,,,
1017,042105248,,,350
1018,042105868,,,350
1019,042105627,24-09-22,26-09-22,
1020,042105626,,,350
1021,042104181,,,350
1022,042105636,12-09-22,13-09-22,
1023,042105874,,,
1024,042105394,,,
1025,042105694,,,350
1026,042105204,,,350
1027,042105637,,,
1028,042105391,,,350
1029,042105206,,,350
1030,042104076,19-09-22,20-09-22,350
1031,042102100,,,350
1032,070722072,,,350
1033,070703201,,,350
1034,070717945,,,350
1035,070718834,,,350
1036,070715441,,,350
1037,070719344,,,350
1038,070719586,,,350
1039,070717917,,,350
1040,070719709,09-09-22,11-09-22,350
1041,070709351,24-09-22,25-09-22,350
1042,070715449,21-09-22,22-09-22,350
1043,070717924,23-09-22,27-09-22,350
1044,070703196,,,350
1045,070703200,,,350
1046,070717972,,,350
1047,070715448,,,350
1048,070718885,,,350
1049,070703216,,,350
1050,070704925,,,350
1051,070719596,,,350
1052,070719597,,,350
1053,070703197,,,350
1054,070705740,,,350
1055,070718920,23-09-22,24-09-22,350
1056,070721961,,,
1057,070717946,26-09-22,27-09-22,
1058,070718916,,,
1059,070709290,23-09-22,27-09-22,
1060,070722073,18-09-22,19-09-22,
1061,070706345,12-09-22,13-09-22,
1062,070722069,,,
1063,070718426,23-09-22,24-09-22,
1064,070722070,,,
1065,070718062,19-09-22,20-09-22,
1066,070705958,,,
1067,070705988,,,
1068,070713971,02-09-22,09-09-22,
1069,070721793,24-09-22,25-09-22,
1070,070718190,21-09-22,22-09-22,
1071,070717944,,,
1072,070712783,,,350
1073,070719266,,,350
1074,070703195,,,350
1075,070719584,,,350
1076,070717918,17-09-22,18-09-22,350
1077,070720296,21-09-22,23-09-22,350
1078,070719604,22-09-22,24-09-22,350
1079,070719334,17-09-22,19-09-22,350
1080,070719345,15-09-22,16-09-22,350
1081,070718884,,,350
1082,070717920,,,350
1083,070703199,24-09-22,26-09-22,350
1084,070714107,,,350
1085,070722071,,,350
1086,070714979,,,350
1087,090109022,,,
1088,090111994,,,450
1089,090109044,,,
1090,090109055,,,
1091,090111277,,,
1092,090109021,,,
1093,090111174,24-09-22,26-09-22,
1094,090112138,,,450
1095,090111176,,,450
1096,090111280,,,
1097,090109053,,,450
1098,090111281,24-09-22,26-09-22,450
1099,090112367,,,450
1100,090111283,24-09-22,26-09-22,450
1101,090111626,,,
1102,090112195,,,
1103,090111278,04-09-22,06-09-22,450
1104,090111627,24-09-22,26-09-22,450
1105,090111284,24-09-22,26-09-22,
1106,090109781,12-09-22,14-09-22,450
1107,090109178,,,450
1108,090109027,,,450
1109,090112325,,,450
1110,090111287,,,450
1111,090109052,,,450
1112,090109045,,,450
1113,030740949,,,
1114,030707872,,,350
1115,030702289,15-09-22,16-09-22,350
1116,030702290,16-09-22,17-09-22,350
1117,030740457,,,350
1118,030707868,,,350
1119,030707870,25-09-22,26-09-22,350
1120,030707876,23-09-22,25-09-22,350
1121,030707865,,,350
1122,030706728,,,350
1123,030702448,,,350
1124,030706394,03-08-22,04-08-22,350
1125,030740479,,,350
1126,030706380,24-08-22,25-08-22,350
1127,030707866,,,250
1128,030740446,,,250
1129,030707491,,,250
1130,030740447,,,250
1131,030702447,,,250
1132,030740456,,,350
1133,030740960,,,350
1134,030701316,,,350
1135,030740956,,,350
1136,030740957,,,350
1137,080501472,,,
1138,080501473,,,
1139,080501471,,,450
1140,050503716,,,
1141,050507089,,,
1142,050515738,,,
1143,050513801,,,
1144,050512463,,,
1145,050510030,,,
1146,050511670,,,
1147,050513800,,,
1148,050510453,,,
1149,050513155,07-09-22,30-09-22,
1150,050503381,09-09-22,12-09-22,
1151,050511669,14-09-22,30-09-22,
1152,050514948,,,
1153,050510610,,,
1154,050503459,,,
1155,050514784,,,
1156,050515743,04-09-22,05-09-22,
1157,050503393,,,
1158,050503382,,,
1159,050515463,,,
1160,050516438,,,
1161,050511668,,,
1162,050517669,,,
1163,050510623,,,
1164,050514673,,,
1165,050515099,15-09-22,17-09-22,
1166,050503675,,,
1167,050503368,,,
1168,050513799,,,
1169,050514802,,,
1170,050516586,,,
1171,050503383,,,
1172,050516584,,,
1173,050517672,,,
1174,050516579,,,
1175,050516580,,,
1176,050510511,,,
1177,050516324,,,
1178,050516581,,,
1179,050516582,,,
1180,050516583,,,
1181,050516585,,,
1182,050503778,,,
1183,050503826,,,
1184,050511086,02-09-22,16-09-22,
1185,091306267,22-08-22,23-08-22,450
1186,091301967,10-08-22,11-08-22,450
1187,091301402,14-09-22,15-09-22,450
1188,091301400,10-08-22,11-08-22,450
